customer_id,first_name,last_name,email,registration_date,country
C00001,John,Mitchell,kaylaperez@example.com,2023-02-02,AUS
C00002,Daniel,Olsen,melissalang@example.net,2021-08-25,FRA
C00003,Patricia,Waters,ojones@example.org,2025-04-07,MEX
C00004,Rachel,Roth,adriana29@example.org,2021-04-05,BRA
C00005,Billy,Sosa,ashley84@example.com,2022-11-02,USA
C00006,Kelly,Hall,frankmalone@example.com,2022-12-02,USA
C00007,Lonnie,Patrick,nmora@example.net,2021-04-12,UK
C00008,Stacey,Rivas,briandavila@example.org,2022-11-22,JPN
C00009,Anne,Hines,gallegosjames@example.net,2023-09-01,BRA
C00010,Michelle,Cox,amanda71@example.net,2024-09-07,BRA
C00011,Patrick,Torres,barnesmelissa@example.org,2023-01-11,BRA
C00012,Heather,Martinez,tatelynn@example.com,2025-02-08,AUS
C00013,James,Willis,davisjonathan@example.com,2021-07-23,BRA
C00014,Donald,Deleon,gabriella25@example.com,2021-09-22,UK
C00015,Traci,Johnson,smaynard@example.net,2021-01-01,IND
C00016,Joshua,Mason,lisa83@example.org,2023-05-06,JPN
C00017,Eric,Townsend,michaelneal@example.org,2023-02-13,JPN
C00018,Destiny,Wells,lewiskimberly@example.net,2025-01-25,GER
C00019,Lisa,Soto,rodney99@example.org,2023-07-13,BRA
C00020,William,Evans,weeksrhonda@example.net,2024-01-05,FRA
C00021,Sarah,Dean,vrogers@example.com,2024-03-10,UK
C00022,Timothy,Crawford,edwardpeterson@example.com,2022-12-16,UK
C00023,Tamara,Smith,alvarezjoel@example.net,2025-03-05,UK
C00024,Charles,Harvey,kprice@example.com,2023-05-04,AUS
C00025,Laura,Wells,elizabethbutler@example.org,2023-12-23,AUS
C00026,Hayden,Lee,awarner@example.org,2024-06-30,MEX
C00027,Kevin,Graham,nbauer@example.com,2021-03-20,IND
C00028,Joshua,French,ireyes@example.org,2023-11-13,UK
C00029,Gregory,Huynh,christophercarroll@example.org,2023-06-28,FRA
C00030,Derek,Martinez,qclark@example.com,2023-03-10,FRA
C00031,Gabrielle,Moon,stephengarcia@example.com,2025-03-20,IND
C00032,Benjamin,Sanchez,elizabeth27@example.org,2025-12-28,CAN
C00033,Shelby,Harper,ivaldez@example.com,2023-07-14,USA
C00034,Carl,Blackburn,evansalexis@example.com,2021-05-01,USA
C00035,Rebecca,Brown,hickmanlaura@example.net,2021-11-07,FRA
C00036,Wendy,Brown,michaelforbes@example.org,2022-01-11,GER
C00037,Francisco,Gutierrez,victoriaturner@example.net,2023-10-05,FRA
C00038,Darren,Wright,brittanymarquez@example.com,2023-07-19,AUS
C00039,James,Gray,chelseasimon@example.net,2023-05-23,CAN
C00040,Tina,Walters,newmanwilliam@example.com,2023-05-13,CAN
C00041,Ann,Vaughn,davisdiane@example.com,2024-04-05,BRA
C00042,Jessica,Harrington,davidjackson@example.org,2022-10-06,JPN
C00043,Debra,Griffith,starkeric@example.org,2021-02-08,BRA
C00044,Alexis,Washington,coreywalker@example.org,2025-08-25,CAN
C00045,Christine,Myers,kyleriley@example.net,2022-03-01,CAN
C00046,Cody,Herrera,lisa80@example.com,2022-02-17,BRA
C00047,Timothy,Graves,brewerchristopher@example.net,2024-03-15,JPN
C00048,Patrick,Frost,wcampos@example.org,2025-04-26,GER
C00049,Kyle,Hamilton,susan54@example.com,2025-08-23,UK
C00050,Amanda,Sellers,michael50@example.net,2022-07-26,USA
C00051,Dawn,Barron,morrowstephanie@example.com,2025-02-13,AUS
C00052,Jeffrey,House,ustout@example.org,2024-09-07,IND
C00053,Brett,Leblanc,randy07@example.com,2023-02-06,CAN
C00054,Tanner,Finley,janettaylor@example.net,2023-06-26,BRA
C00055,Daniel,Morrison,spencerjenkins@example.org,2024-05-22,USA
C00056,Evan,King,dominique26@example.com,2021-08-23,BRA
C00057,Susan,Floyd,mirandashawn@example.com,2023-09-01,GER
C00058,Duane,Nash,kelly82@example.com,2023-03-22,UK
C00059,Michelle,Anderson,brian46@example.com,2025-09-18,BRA
C00060,Jade,Hoffman,qray@example.net,2024-06-23,AUS
C00061,Erica,Miller,allenwarner@example.net,2025-01-11,AUS
C00062,Nicholas,Johnson,michael51@example.com,2022-07-08,CAN
C00063,Michelle,Murphy,kgarcia@example.net,2022-12-21,GER
C00064,Carl,Nelson,froth@example.com,2024-12-23,JPN
C00065,Benjamin,Rodriguez,gordonamanda@example.com,2021-12-14,JPN
C00066,David,Levy,heatherellis@example.org,2024-07-28,IND
C00067,Andrea,Dyer,efuller@example.net,2021-02-10,BRA
C00068,Robert,Cannon,ibarron@example.com,2025-10-21,FRA
C00069,Justin,Moses,emily54@example.net,2023-09-16,BRA
C00070,Roger,Burton,aaron67@example.net,2024-06-18,FRA
C00071,Randy,Pham,dukederek@example.net,2025-09-20,JPN
C00072,James,Blair,ybaker@example.com,2022-06-09,UK
C00073,Michael,Warren,janet38@example.com,2021-01-15,JPN
C00074,Erika,Stanley,barajassandra@example.org,2023-04-23,IND
C00075,Robert,Torres,howardkaren@example.com,2025-10-21,USA
C00076,Joseph,Hansen,reyesjamie@example.com,2021-06-03,MEX
C00077,Maria,Conley,lawrencegross@example.org,2022-07-31,CAN
C00078,Melissa,Vance,amandaowens@example.org,2023-09-10,AUS
C00079,Janet,Cook,alexis84@example.net,2023-05-02,JPN
C00080,Melinda,Middleton,skramer@example.net,2023-05-15,UK
C00081,Lindsey,Moreno,obriendavid@example.org,2022-10-30,USA
C00082,Toni,Gardner,lisagardner@example.org,2021-04-11,JPN
C00083,Felicia,Smith,paullivingston@example.net,2024-05-15,FRA
C00084,Scott,Wheeler,kconner@example.net,2023-12-17,JPN
C00085,Ashley,Dixon,richardbenitez@example.com,2024-10-18,UK
C00086,Stephanie,Ruiz,zachary57@example.net,2025-05-05,UK
C00087,Christopher,Stewart,codyking@example.com,2022-05-06,JPN
C00088,Laura,Clark,ccosta@example.net,2023-01-17,CAN
C00089,Theresa,Rivera,nhunter@example.com,2021-08-18,CAN
C00090,Nicole,Brooks,virginiamueller@example.net,2024-02-02,FRA
C00091,James,Pugh,dixonrandy@example.org,2022-06-03,UK
C00092,Steven,Williams,jacquelinereed@example.net,2024-07-19,AUS
C00093,Jennifer,Henderson,beth30@example.com,2024-03-03,IND
C00094,Christine,Parker,pachecoashley@example.net,2021-10-20,GER
C00095,Karen,Carter,parrishkimberly@example.net,2021-02-27,FRA
C00096,Monica,Miller,ocarpenter@example.net,2025-03-25,GER
C00097,Chelsea,Davis,floydmary@example.org,2023-06-04,MEX
C00098,Charles,Jackson,walkertiffany@example.net,2023-06-03,FRA
C00099,Eric,Thomas,hestermiranda@example.com,2025-01-28,CAN
C00100,Daniel,Hernandez,greensheri@example.net,2023-01-05,USA
C00101,Rachel,Allen,gpotter@example.org,2021-03-25,AUS
C00102,Benjamin,Johnson,njones@example.net,2021-03-29,GER
C00103,Brian,Webster,yvonnewilliamson@example.com,2023-08-13,IND
C00104,Tyler,Alexander,jellison@example.com,2021-08-04,FRA
C00105,Christian,Huang,leerichard@example.org,2022-12-28,BRA
C00106,Angela,Nguyen,torrescynthia@example.net,2025-01-03,CAN
C00107,Latasha,Garcia,whitekrystal@example.org,2025-12-13,GER
C00108,William,Weeks,turnerbryan@example.net,2021-04-30,UK
C00109,Dawn,Davidson,rodriguezcharles@example.net,2021-03-13,GER
C00110,Molly,Obrien,whitepamela@example.org,2023-10-02,IND
C00111,Alice,Kirk,yowens@example.net,2023-01-15,BRA
C00112,Mary,Williams,cassandra39@example.com,2022-08-09,JPN
C00113,Dawn,Moore,contreraslinda@example.net,2021-07-20,JPN
C00114,Timothy,Rodriguez,marvin08@example.org,2024-07-09,GER
C00115,Bernard,Cortez,vmartinez@example.net,2024-09-12,JPN
C00116,Karen,Jackson,darryl87@example.net,2025-03-13,AUS
C00117,Crystal,Pratt,zhouse@example.com,2025-07-08,USA
C00118,Philip,Mcfarland,crystaljohnston@example.org,2022-04-24,GER
C00119,Marc,Holmes,stevenstanley@example.org,2025-11-09,IND
C00120,Daniel,Wade,martinjose@example.com,2024-04-12,IND
C00121,Anthony,Kidd,johnbird@example.org,2022-01-07,BRA
C00122,Jason,Sanders,george22@example.com,2021-08-20,UK
C00123,Christopher,Warren,kingkimberly@example.net,2021-01-08,GER
C00124,Justin,Mills,stephenbaker@example.org,2024-04-23,MEX
C00125,Kyle,Christian,matthew25@example.org,2025-09-17,MEX
C00126,Thomas,Hutchinson,jessicaharris@example.net,2021-07-07,BRA
C00127,Candace,Brown,christopher75@example.org,2023-09-26,FRA
C00128,James,Horne,wrightjonathan@example.com,2024-04-09,FRA
C00129,Brett,Scott,charles51@example.com,2022-11-19,MEX
C00130,Jeffrey,Lowe,colemanrebecca@example.net,2025-12-15,MEX
C00131,Sharon,Bell,wcalderon@example.net,2022-06-12,USA
C00132,Gregory,Hopkins,lisamyers@example.org,2022-03-25,FRA
C00133,Heidi,Barker,cindy33@example.net,2021-11-16,UK
